i,j,lon,lat,temp,X,Y,flag
370,426,129.212,35.038,24.243,519327.406,3877233.25,2
370,427,129.212,35.066,24.04,519320.625,3880416,2
370,428,129.212,35.095,23.934,519313.875,3883587.75,2
370,429,129.212,35.124,23.961,519307.125,3886770.5,2
370,430,129.212,35.152,24.019,519300.375,3889942.25,2
370,431,129.212,35.181,24.039,519293.625,3893114,2
371,428,129.244,35.095,23.993,522230.562,3883594.5,2
371,429,129.244,35.124,23.97,522222.781,3886777.25,2
371,430,129.244,35.152,24.006,522215,3889949,2
371,431,129.244,35.181,24.012,522207.25,3893120.75,2
371,432,129.244,35.209,24.005,522199.469,3896292.25,2
372,429,129.276,35.124,24.048,525129.312,3886784.75,2
372,430,129.276,35.152,24.059,525120.562,3889956.5,2
372,431,129.276,35.181,24.048,525111.75,3893128.25,2
372,432,129.276,35.209,24.005,525102.938,3896300,2
372,433,129.276,35.238,23.973,525094.125,3899471.75,2
372,434,129.276,35.266,23.956,525085.375,3902632.5,2
372,435,129.276,35.295,23.947,525076.562,3905804.25,2
372,436,129.276,35.324,23.989,525067.75,3908965,2
373,429,129.308,35.124,24.162,528045,3886793.25,2
373,430,129.308,35.152,24.157,528035.188,3889965,2
373,431,129.308,35.181,24.143,528025.375,3893136.75,2
373,432,129.308,35.209,24.079,528015.562,3896308.5,2
373,433,129.308,35.238,23.978,528005.75,3899480.25,2
373,434,129.308,35.266,23.886,527995.938,3902641,2
373,435,129.308,35.295,23.831,527986.125,3905812.75,2
373,436,129.308,35.324,23.819,527976.25,3908973.5,2
374,430,129.34,35.152,24.274,530949.875,3889974.5,2
374,431,129.34,35.181,24.247,530939,3893146.25,2
374,432,129.34,35.209,24.189,530928.188,3896318,2
374,433,129.34,35.238,24.089,530917.312,3899489.75,2
374,434,129.34,35.266,23.959,530906.5,3902650.5,2
374,435,129.34,35.295,23.881,530895.625,3905822.25,2
374,436,129.34,35.324,23.894,530884.812,3908983,2
374,437,129.34,35.352,23.92,530873.938,3912154.75,2
375,430,129.372,35.152,24.4,533855.375,3889985,2
375,431,129.372,35.181,24.352,533843.562,3893156.75,2
375,432,129.372,35.209,24.273,533831.688,3896328.5,2
375,433,129.372,35.238,24.163,533819.812,3899500.25,2
375,434,129.372,35.266,24.038,533808,3902660.75,2
375,435,129.372,35.295,23.937,533796.125,3905832.75,2
375,436,129.372,35.324,23.896,533784.25,3908993.5,2
375,437,129.372,35.352,23.916,533772.375,3912165.25,2
375,438,129.372,35.381,23.999,533760.5,3915326,2
375,439,129.372,35.409,24.104,533748.562,3918497.75,2
375,440,129.372,35.438,24.246,533736.688,3921658.75,2
375,441,129.372,35.466,24.417,533724.75,3924819.5,2
376,430,129.404,35.152,24.514,536770.062,3889996.25,2
376,431,129.404,35.181,24.443,536757.188,3893168,2
376,432,129.404,35.209,24.352,536744.312,3896339.75,2
376,433,129.404,35.238,24.249,536731.438,3899511.5,2
376,434,129.404,35.266,24.142,536718.562,3902672.25,2
376,435,129.404,35.295,24.025,536705.625,3905844,2
376,436,129.404,35.324,23.89,536692.75,3909004.75,2
376,437,129.404,35.352,23.771,536679.875,3912176.5,2
376,438,129.404,35.381,23.763,536666.938,3915337.25,2
376,439,129.404,35.409,23.896,536654,3918509.25,2
376,440,129.404,35.438,24.133,536641.125,3921670,2
376,441,129.404,35.466,24.35,536628.188,3924830.75,2
376,442,129.404,35.495,24.543,536615.25,3927991.75,2
376,461,129.404,36.034,25.104,536368.875,3987828.25,2
376,462,129.404,36.062,25.072,536355.875,3990956,2
377,430,129.436,35.152,24.613,539684.688,3890008.5,2
