i,j,lon,lat,temp,X,Y,flag
219,534,124.385,38.073,24.779,95092.477,4223950,2
222,519,124.481,37.658,24.849,101277.961,4177522.25,2
222,520,124.481,37.686,24.71,101426.531,4180598,2
222,521,124.481,37.714,24.601,101575.203,4183673.5,2
222,522,124.481,37.741,24.457,101723.953,4186749.25,2
222,523,124.481,37.769,24.267,101872.273,4189813.75,2
222,524,124.481,37.797,24.085,102021.219,4192889.5,2
222,525,124.481,37.824,23.973,102169.711,4195954,2
222,526,124.481,37.852,23.917,102318.844,4199029.5,2
222,527,124.481,37.88,23.902,102467.523,4202094,2
222,528,124.481,37.907,23.907,102616.305,4205159,2
222,529,124.481,37.935,23.9,102765.172,4208223.5,2
222,530,124.481,37.962,23.911,102914.133,4211288,2
222,531,124.481,37.99,23.971,103063.188,4214352.5,2
222,532,124.481,38.018,24.071,103211.789,4217406,2
222,533,124.481,38.045,24.171,103361.031,4220470.5,2
222,534,124.481,38.073,24.236,103510.359,4223535,2
223,518,124.513,37.631,24.951,103955.266,4174310.75,2
223,519,124.513,37.658,24.728,104102.688,4177386.25,2
223,520,124.513,37.686,24.56,104250.203,4180462,2
223,521,124.513,37.714,24.42,104397.805,4183537.5,2
223,522,124.513,37.741,24.244,104545.508,4186613.25,2
223,523,124.513,37.769,24.047,104692.766,4189677.75,2
223,524,124.513,37.797,23.891,104840.648,4192753.25,2
223,525,124.513,37.824,23.83,104988.086,4195818,2
223,526,124.513,37.852,23.791,105136.156,4198893.5,2
223,527,124.513,37.88,23.766,105283.781,4201958,2
223,528,124.513,37.907,23.714,105431.5,4205022.5,2
223,529,124.513,37.935,23.608,105579.305,4208087,2
223,530,124.513,37.962,23.529,105727.203,4211151.5,2
223,531,124.513,37.99,23.544,105875.195,4214216,2
223,532,124.513,38.018,23.587,106022.742,4217269.5,2
223,533,124.513,38.045,23.665,106170.922,4220334,2
223,534,124.513,38.073,23.784,106319.188,4223399,2
223,535,124.513,38.1,23.899,106467.008,4226452.5,2
224,517,124.545,37.603,24.995,106634.742,4171100.25,2
224,518,124.545,37.631,24.753,106781.016,4174175.75,2
224,519,124.545,37.658,24.529,106927.383,4177251.5,2
224,520,124.545,37.686,24.367,107073.836,4180327,2
224,521,124.545,37.714,24.221,107220.383,4183402.5,2
224,522,124.545,37.741,24.042,107367.023,4186478.25,2
224,523,124.545,37.769,23.86,107513.227,4189542.5,2
224,524,124.545,37.797,23.734,107660.047,4192618.25,2
224,525,124.545,37.824,23.696,107806.43,4195682.5,2
224,526,124.545,37.852,23.652,107953.438,4198758.5,2
224,527,124.545,37.88,23.621,108100,4201823,2
224,528,124.545,37.907,23.508,108246.656,4204887.5,2
224,529,124.545,37.935,23.365,108393.406,4207952,2
224,530,124.545,37.962,23.253,108540.25,4211016.5,2
224,531,124.545,37.99,23.238,108687.18,4214081,2
224,532,124.545,38.018,23.279,108833.664,4217134.5,2
224,533,124.545,38.045,23.275,108980.781,4220199,2
224,534,124.545,38.073,23.323,109127.984,4223263.5,2
224,535,124.545,38.1,23.382,109274.742,4226317,2
225,517,124.577,37.603,24.733,109452.688,4170966.75,2
225,518,124.577,37.631,24.512,109597.906,4174042.25,2
225,519,124.577,37.658,24.335,109743.211,4177117.75,2
225,520,124.577,37.686,24.213,109888.617,4180193.5,2
225,521,124.577,37.714,24.095,110034.109,4183269,2
225,522,124.577,37.741,23.931,110179.688,4186344.5,2
225,523,124.577,37.769,23.752,110324.844,4189409,2
225,524,124.577,37.797,23.623,110470.602,4192484.5,2
225,525,124.577,37.824,23.56,110615.938,4195549,2
225,526,124.577,37.852,23.503,110761.883,4198624.5,2
225,527,124.577,37.88,23.475,110907.391,4201689,2
225,528,124.577,37.907,23.33,111052.992,4204753.5,2
225,529,124.577,37.935,23.197,111198.688,4207818,2
225,530,124.577,37.962,23.045,111344.469,4210882.5,2
225,531,124.577,37.99,22.976,111490.344,4213947,2
225,532,124.577,38.018,23.019,111635.773,4217000.5,2
225,533,124.577,38.045,22.888,111781.828,4220065,2
225,534,124.577,38.073,22.861,111927.977,4223129.5,2
225,535,124.577,38.1,22.731,112073.68,4226182.5,2
226,516,124.609,37.575,24.649,112134.836,4167747.25,2
226,517,124.609,37.603,24.486,112279.43,4170833.75,2
226,518,124.609,37.631,24.33,112423.594,4173909.25,2
226,519,124.609,37.658,24.228,112567.844,4176984.75,2
226,520,124.609,37.686,24.16,112712.188,4180060.25,2
226,521,124.609,37.714,24.079,112856.625,4183135.75,2
226,522,124.609,37.741,23.909,113001.148,4186211.25,2
226,523,124.609,37.769,23.694,113145.242,4189275.75,2
226,524,124.609,37.797,23.526,113289.945,4192351.25,2
226,525,124.609,37.824,23.414,113434.219,4195415.5,2
226,526,124.609,37.852,23.355,113579.102,4198491.5,2
226,527,124.609,37.88,23.345,113723.555,4201555.5,2
226,528,124.609,37.907,23.16,113868.102,4204620,2
226,529,124.609,37.935,23.048,114012.734,4207684.5,2
226,530,124.609,37.962,22.804,114157.453,4210749,2
226,531,124.609,37.99,22.593,114302.266,4213813.5,2
226,532,124.609,38.018,22.568,114446.641,4216867,2
226,533,124.609,38.045,22.459,114591.633,4219931.5,2
226,534,124.609,38.073,22.452,114736.711,4222996,2
226,535,124.609,38.1,22.304,114881.359,4226049,2
227,516,124.641,37.575,24.476,114962.609,4167615.25,2
227,517,124.641,37.603,24.347,115106.141,4170702,2
227,518,124.641,37.631,24.253,115249.25,4173777.25,2
227,519,124.641,37.658,24.206,115392.445,4176852.75,2
227,520,124.641,37.686,24.173,115535.727,4179928.25,2
227,521,124.641,37.714,24.117,115679.109,4183003.75,2
227,522,124.641,37.741,23.908,115822.57,4186079.25,2
227,523,124.641,37.769,23.633,115965.609,4189143.5,2
227,524,124.641,37.797,23.402,116109.258,4192219,2
227,525,124.641,37.824,23.256,116252.469,4195283.5,2
227,526,124.641,37.852,23.187,116396.297,4198359,2
227,527,124.641,37.88,23.147,116539.688,4201423.5,2
227,528,124.641,37.907,23.005,116683.172,4204488,2
227,531,124.641,37.99,22.371,117114.156,4213681,2
227,532,124.641,38.018,22.562,117257.477,4216734.5,2
227,533,124.641,38.045,22.593,117401.406,4219799,2
227,534,124.641,38.073,22.535,117545.422,4222863.5,2
